ID	DOCULECT	DOCULECT_OLD	CONCEPT	LANGID	VALUE	FORM	COG	TOKENS	COGID	SEGMENTS	SONARS	PROSTRINGS	CLASSES	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID	ALIGNMENT
40	Warembori	Warembori	1pl incl	56	ki	ki	1pl incl-1	k i	2	k i	1 7	AX	KI	56.K.C 56.I.V	2.0 1.5	ki	0	1	- - - k i - -
41	Cebuano_outgroup	Cebuano	1plexcl		kami	kami	1plexcl-2	k a m i	8	k a m i	1 7 4 7	AXBZ	KAMI	.K.C .A.V .M.C .I.V	2.0 1.5 1.75 0.8	kami	0	13	k a m - - i
44	Wamesa	WAD	1plexcl	30	ama-	ama-	1plexcl-1	a m a	7	a m a	7 4 7	XBZ	AMA	30.A.V 30.M.C 30.A.V	1.5 1.75 0.8	ama	0	13	- a m - - a
45	Ambai	Ambai	1plexcl	31	amea	amea	1plexcl-1	a m e a	7	a m e a	7 4 7 7	XBYZ	AMEA	31.A.V 31.M.C 31.E.V 31.A.V	1.5 1.75 1.3 0.8	amea	0	13	- a m e - a
46	Ansus_PD	Ansus (P&D)	1plexcl	33	ama	ama	1plexcl-1	a m a	7	a m a	7 4 7	XBZ	AMA	33.A.V 33.M.C 33.A.V	1.5 1.75 0.8	ama	0	13	- a m - - a
47	Serui_Laut	Serui-Laut (slump)	1plexcl	53	ama	ama	1plexcl-1	a m a	7	a m a	7 4 7	XBZ	AMA	53.A.V 53.M.C 53.A.V	1.5 1.75 0.8	ama	0	13	- a m - - a
48	Kurudu	KURUDU	1plexcl	69	nami	nami	1plexcl-	n a m i	6	n a m i	4 7 4 7	AXBZ	NAMI	69.N.C 69.A.V 69.M.C 69.I.V	2.0 1.5 1.75 0.8	nami	0	13	n a m i - -
49	Biak_Betew	Biak Betew (Mutus)	1plexcl		nko	nko	1plexcl-	n k o	6	n k o	4 1 7	ACZ	NKU	.N.C .K.C .U.V	2.0 1.5 0.8	nko	0	15	- n k o -
50	Biak_Numfor	Biak Numfoor (Mandori)	1plexcl		inggo	inggo	1plexcl-	i ŋ g o	6	i ŋ g o	7 4 1 7	XMBZ	INKU	.I.V .N.c .K.C .U.V	1.5 1.1 1.75 0.8	iŋgo	0	15	i ŋ g o -
51	Roswar	Roswar	1plexcl	70	kon	kon	1plexcl-	k o n	6	k o n	1 7 4	AXN	KUN	70.K.C 70.U.V 70.N.c	2.0 1.5 0.8	kon	0	20	k o n
52	Roon	Roon	1plexcl		nggon	nggon	1plexcl-	ŋ g o n	6	ŋ g o n	4 1 7 4	ACYN	NKUN	.N.C .K.C .U.V .N.c	2.0 1.5 1.3 0.8	ŋgon	0	15	- ŋ g o n
53	Dusner	Dusner	1plexcl	39	toen	toen	1plexcl-39	t o e n	9	t o e n	1 7 7 4	AXYN	TUEN	39.T.C 39.U.V 39.E.V 39.N.c	2.0 1.5 1.3 0.8	toen	0	22	t o e n
54	Arguni	Arguni	1plexcl	34	ambami	ambami	1plexcl-1	a m b a m i	7	a m b a m i	7 4 1 7 4 7	XMBYBZ	AMPAMI	34.A.V 34.M.c 34.P.C 34.A.V 34.M.C 34.I.V	1.5 1.1 1.75 1.3 1.75 0.8	ambami	0	17	a m b a m i
55	As	As (ABVD)	1plexcl	35	am|ne	am|ne	1plexcl-1	a m n e	7	a m n e	7 4 4 7	XMBZ	AMNE	35.A.V 35.M.c 35.N.C 35.E.V	1.5 1.1 1.75 0.8	amne	0	14	- a m n e
56	Biga	Biga (rem)	1plexcl	37	ambana, amon	ambana	1plexcl-1	a m b a n a	7	a m b a n a	7 4 1 7 4 7	XMBYBZ	AMPANA	37.A.V 37.M.c 37.P.C 37.A.V 37.N.C 37.A.V	1.5 1.1 1.75 1.3 1.75 0.8	ambana	0	16	a m b a n a
57	Biga	Biga (rem)	1plexcl	37	ambana, amon	amon	1plexcl-2	_ a m o n	8	_ a m o n	9 7 4 7 4	_XBYN	_AMUN	37._._ 37.A.V 37.M.C 37.U.V 37.N.c	0.0 1.5 1.75 1.3 0.8	_amon	0	18	_ a m o n
58	Buli	Buli	1plexcl	38	ame	ame	1plexcl-1	a m e	7	a m e	7 4 7	XBZ	AME	38.A.V 38.M.C 38.E.V	1.5 1.75 0.8	ame	0	13	- a m - - e
59	Fiawat	Fiawat (fiawat)	1plexcl	40	ame	ame	1plexcl-1	a m e	7	a m e	7 4 7	XBZ	AME	40.A.V 40.M.C 40.E.V	1.5 1.75 0.8	ame	0	13	- a m - - e
60	Gane	Gane	1plexcl	41	ame	ame	1plexcl-1	a m e	7	a m e	7 4 7	XBZ	AME	41.A.V 41.M.C 41.E.V	1.5 1.75 0.8	ame	0	13	- a m - - e
61	Gebe	Gebe	1plexcl	42	amne	amne	1plexcl-1	a m n e	7	a m n e	7 4 4 7	XMBZ	AMNE	42.A.V 42.M.c 42.N.C 42.E.V	1.5 1.1 1.75 0.8	amne	0	14	- a m n e
62	Kawe	Kawe (rem)	1plexcl	44	amfata, amne	amfata	1plexcl-1	a m ɸ a t a	7	a m ɸ a t a	7 4 3 7 1 7	XMBYBZ	AMBATA	44.A.V 44.M.c 44.B.C 44.A.V 44.T.C 44.A.V	1.5 1.1 1.75 1.3 1.75 0.8	amɸata	0	16	a m ɸ a t a
63	Kawe	Kawe (rem)	1plexcl	44	amfata, amne	amne	1plexcl-2	_ a m n e	8	_ a m n e	9 7 4 4 7	_XMBZ	_AMNE	44._._ 44.A.V 44.M.c 44.N.C 44.E.V	0.0 1.5 1.1 1.75 0.8	_amne	0	14	_ a m n e
64	Kowiai	Kowiai	1plexcl	45	am	am	1plexcl-1	a m	7	a m	7 4	XN	AM	45.A.V 45.M.c	1.5 0.8	am	0	13	- a m - - -
65	Laganyan	Laganyan	1plexcl	46	amne	amne	1plexcl-1	a m n e	7	a m n e	7 4 4 7	XMBZ	AMNE	46.A.V 46.M.c 46.N.C 46.E.V	1.5 1.1 1.75 0.8	amne	0	14	- a m n e
66	Irarutu	Irarutu (Mats)	1plexcl	43	am	am	1plexcl-1	a m	7	a m	7 4	XN	AM	43.A.V 43.M.c	1.5 0.8	am	0	21	a m
67	Ambel	Ambel (rem)	1plexcl	32	amne	amne	1plexcl-1	a m n e	7	a m n e	7 4 4 7	XMBZ	AMNE	32.A.V 32.M.c 32.N.C 32.E.V	1.5 1.1 1.75 0.8	amne	0	14	- a m n e
68	Matbat	Matbat	1plexcl	47	ya²¹m	ya²¹m	1plexcl-1	j ²¹/a m	7	j a m	6 7 4	AXN	JAM	47.J.C 47.A.V 47.M.c	2.0 1.5 0.8	jam	0	13	j ²¹/a m - - -
69	Maya_Misool	Ma'ya Misool	1plexcl	48	amne	amne	1plexcl-1	a m n e	7	a m n e	7 4 4 7	XMBZ	AMNE	48.A.V 48.M.c 48.N.C 48.E.V	1.5 1.1 1.75 0.8	amne	0	14	- a m n e
70	Maya_Salawati	Ma'ya Salawati	1plexcl	49	amne	amne	1plexcl-1	a m n e	7	a m n e	7 4 4 7	XMBZ	AMNE	49.A.V 49.M.c 49.N.C 49.E.V	1.5 1.1 1.75 0.8	amne	0	14	- a m n e
71	Sawai	Sawai (CAD)	1plexcl	51	am	am	1plexcl-1	a m	7	a m	7 4	XN	AM	51.A.V 51.M.c	1.5 0.8	am	0	14	- a m - -
72	Sekar	Sekar (ABVD)	1plexcl	52	yami	yami	1plexcl-1	j a m i	7	j a m i	6 7 4 7	AXBZ	JAMI	52.J.C 52.A.V 52.M.C 52.I.V	2.0 1.5 1.75 0.8	jami	0	13	j a m - - i
73	Taba	Taba	1plexcl	54	am	am	1plexcl-1	a m	7	a m	7 4	XN	AM	54.A.V 54.M.c	1.5 0.8	am	1	13	- a m - - -
