ID	DOCULECT	DOCULECT_OLD	CONCEPT	LANGID	VALUE	FORM	COG	TOKENS	COGID	SEGMENTS	SONARS	PROSTRINGS	CLASSES	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID	ALIGNMENT
4257	Cebuano_outgroup	Cebuano	mother		inahán	inahán	mother-1	i n a h á n	1441	i n a h á n	7 4 7 3 7 4	XBYBYN	INAHAN	.I.V .N.C .A.V .H.C .A.V .N.c	1.5 1.75 1.3 1.75 1.3 0.8	inahán	0	1709	- i n a h á n - - -
4260	Wamesa	WAD	mother	30	mai, awini, sinia	mai	mother-1	m a i	1441	m a i	4 7 7	AXZ	MAI	30.M.C 30.A.V 30.I.V	2.0 1.5 0.8	mai	0	1710	- - - - m a i
4261	Wamesa	WAD	mother	30	mai, awini, sinia	awini	mother-4	_ a w i n i	1446	_ a w i n i	9 7 6 7 4 7	_XBYBZ	_AWINI	30._._ 30.A.V 30.W.C 30.I.V 30.N.C 30.I.V	0.0 1.5 1.75 1.3 1.75 0.8	_awini	0	1709	_ a w - - i n - - i
4262	Ambai	Ambai	mother	31	ina	ina	mother-2	i n a	1442	i n a	7 4 7	XBZ	INA	31.I.V 31.N.C 31.A.V	1.5 1.75 0.8	ina	1	1709	- - - - - i n - - a
4263	Ansus_PD	Ansus (P&D)	mother	33	inani	inani	mother-2	i n a n i	1442	i n a n i	7 4 7 4 7	XBYBZ	INANI	33.I.V 33.N.C 33.A.V 33.N.C 33.I.V	1.5 1.75 1.3 1.75 0.8	inani	0	1709	- i n - - a n - - i
4264	Ansus_EG	Ansus (EG)	mother		inani, intai	inani	mother-	i n a n i	1440	i n a n i	7 4 7 4 7	XBYBZ	INANI	.I.V .N.C .A.V .N.C .I.V	1.5 1.75 1.3 1.75 0.8	inani	0	1709	- i n - - a n - - i
4265	Pom	Pom	mother		ami	ami	mother-	a m i	1440	a m i	7 4 7	XBZ	AMI	.A.V .M.C .I.V	1.5 1.75 0.8	ami	0	1710	- - - a m - i
4266	Serewen	Serewen	mother		hinamui	hinamui	mother-	h i n a m u i	1440	h i n a m u i	3 7 4 7 4 7 7	AXBYBYZ	HINAMYI	.H.C .I.V .N.C .A.V .M.C .Y.V .I.V	2.0 1.5 1.75 1.3 1.75 1.3 0.8	hinamui	0	1710	h i n a m u i
4267	Serui_Laut	Serui-Laut (slump)	mother	53	ina-	ina-	mother-2	i n a	1442	i n a	7 4 7	XBZ	INA	53.I.V 53.N.C 53.A.V	1.5 1.75 0.8	ina	1	1709	- - - - - i n - - a
4268	Kurudu	KURUDU	mother	69	ina	ina	mother-	i n a	1440	i n a	7 4 7	XBZ	INA	69.I.V 69.N.C 69.A.V	1.5 1.75 0.8	ina	0	1709	- - - - - i n - - a
4269	Biak	Biak	mother	36	ina, sna	ina	mother-2	i n a	1442	i n a	7 4 7	XBZ	INA	36.I.V 36.N.C 36.A.V	1.5 1.75 0.8	ina	0	1709	- - - - - i n - - a
4270	Biak	Biak	mother	36	ina, sna	sna	mother-4	_ s n a	1446	_ s n a	9 3 4 7	_ACX	_SNA	36._._ 36.S.C 36.N.C 36.A.V	0.0 2.0 1.5 1.5	_sna	0	1713	_ s n a - -
4271	Biak_Betew	Biak Betew (Mutus)	mother		hna, nen	hna	mother-	h n a	1440	h n a	3 4 7	ACX	HNA	.H.C .N.C .A.V	2.0 1.5 1.5	hna	0	1712	h n a
4272	Biak_Numfor	Biak Numfoor (Mandori)	mother		awin	awin	mother-	a w i n	1440	a w i n	7 6 7 4	XBYN	AWIN	.A.V .W.C .I.V .N.c	1.5 1.75 1.3 0.8	awin	0	1709	- a w - - i n - - -
4273	Roswar	Roswar	mother	70	sna	sna	mother-	s n a	1440	s n a	3 4 7	ACX	SNA	70.S.C 70.N.C 70.A.V	2.0 1.5 1.5	sna	0	1712	s n a
4274	Roon	Roon	mother		sana	sana	mother-	s a n a	1440	s a n a	3 7 4 7	AXBZ	SANA	.S.C .A.V .N.C .A.V	2.0 1.5 1.75 0.8	sana	0	1709	- - - - s a n - - a
4275	Dusner	Dusner	mother	39	mini, snari	mini	mother-2	m i n i	1442	m i n i	4 7 4 7	AXBZ	MINI	39.M.C 39.I.V 39.N.C 39.I.V	2.0 1.5 1.75 0.8	mini	0	1709	- - - - m i n - - i
4276	Dusner	Dusner	mother	39	mini, snari	snari	mother-4	_ s n a r i	1446	_ s n a r i	9 3 4 7 5 7	_ACXBZ	_SNARI	39._._ 39.S.C 39.N.C 39.A.V 39.R.C 39.I.V	0.0 2.0 1.5 1.5 1.75 0.8	_snari	0	1713	_ s n a r i
4277	Arguni	Arguni	mother	34	yai	yai	mother-3	j a i	1443	j a i	6 7 7	AXZ	JAI	34.J.C 34.A.V 34.I.V	2.0 1.5 0.8	jai	0	1714	j a i
4278	As	As (ABVD)	mother	35	niʔ	niʔ	mother-35	n i ʔ	1444	n i ʔ	4 7 1	AXN	NIH	35.N.C 35.I.V 35.H.c	2.0 1.5 0.8	niʔ	0	1711	n i ʔ -
4279	Biga	Biga (rem)	mother	37	nei	nei	mother-37	n e i	1445	n e i	4 7 7	AXZ	NEI	37.N.C 37.E.V 37.I.V	2.0 1.5 0.8	nei	0	1709	- - - - - - n - e i
4280	Buli	Buli	mother	38	hñē	hñē	mother-4	h ɲ ē	1446	h ɲ ē	3 4 7	ACX	HNE	38.H.C 38.N.C 38.E.V	2.0 1.5 1.5	hɲē	0	1712	h ɲ ē
4281	Gane	Gane	mother	41	mamu	mamu	mother-41	m a m u	1447	m a m u	4 7 4 7	AXBZ	MAMY	41.M.C 41.A.V 41.M.C 41.Y.V	2.0 1.5 1.75 0.8	mamu	0	1710	- - m a m u -
4282	Gebe	Gebe	mother	42	didi	didi	mother-42	d i d i	1448	d i d i	1 7 1 7	AXBZ	TITI	42.T.C 42.I.V 42.T.C 42.I.V	2.0 1.5 1.75 0.8	didi	0	1715	d i d i
4283	Kowiai	Kowiai	mother	45	néna	néna	mother-2	n é n a	1442	n é n a	4 7 4 7	AXBZ	NENA	45.N.C 45.E.V 45.N.C 45.A.V	2.0 1.5 1.75 0.8	néna	0	1711	n é n a
4284	Irarutu	Irarutu (Mats)	mother	43	d|ena	d|ena	mother-2	d e n a	1442	d e n a	1 7 4 7	AXBZ	TENA	43.T.C 43.E.V 43.N.C 43.A.V	2.0 1.5 1.75 0.8	dena	0	1709	- - - - d e n - - a
4285	Ambel	Ambel (rem)	mother	32	i-nyá	i-nyá	mother-4	i n j á	1446	i n j á	7 4 6 7	XBCZ	INJA	32.I.V 32.N.C 32.J.C 32.A.V	1.5 1.75 1.5 0.8	injá	0	1709	- - - - - i n j - á
4286	Matbat	Matbat	mother	47	ne³n	ne³n	mother-2	n ³/e n	1442	n e n	4 7 4	AXN	NEN	47.N.C 47.E.V 47.N.c	2.0 1.5 0.8	nen	1	1711	n ³/e n -
4287	Maya_Misool	Ma'ya Misool	mother	48	ʃan	ʃan	mother-48	ʃ a n	1449	ʃ a n	3 7 4	AXN	SAN	48.S.C 48.A.V 48.N.c	2.0 1.5 0.8	ʃan	0	1716	ʃ a n
4288	Maya_Salawati	Ma'ya Salawati	mother	49	ne12N	ne12N	mother-2	n ¹²/e lʲ	1442	n e lʲ	4 7 5	AXN	NEL	49.N.C 49.E.V 49.L.c	2.0 1.5 0.8	nelʲ	0	1711	n ¹²/e lʲ -
4289	Sekar	Sekar (ABVD)	mother	52	nini-n	nini-n	mother-2	n i n i n	1442	n i n i n	4 7 4 7 4	AXBYN	NININ	52.N.C 52.I.V 52.N.C 52.I.V 52.N.c	2.0 1.5 1.75 1.3 0.8	ninin	0	1717	n i n i n
4290	Taba	Taba	mother	54	mama	mama	mother-54	m a m a	1450	m a m a	4 7 4 7	AXBZ	MAMA	54.M.C 54.A.V 54.M.C 54.A.V	2.0 1.5 1.75 0.8	mama	0	1710	- - m a m - a
4291	Waropen	Waropen (held)	mother	57	inai, mini	inai	mother-2	i n a i	1442	i n a i	7 4 7 7	XBYZ	INAI	57.I.V 57.N.C 57.A.V 57.I.V	1.5 1.75 1.3 0.8	inai	0	1709	- i n - - a - - - i
4292	Umar	Umar	mother	55	mai	mai	mother-1	m a i	1441	m a i	4 7 7	AXZ	MAI	55.M.C 55.A.V 55.I.V	2.0 1.5 0.8	mai	0	1710	- - - - m a i
4293	Yaur	Yaur	mother	59	íijò	íijò	mother-59	í i d͡ʒ ò	1451	í i d͡ʒ ò	7 7 2 7	XYBZ	IICU	59.I.V 59.I.V 59.C.C 59.U.V	1.5 1.3 1.75 0.8	íid͡ʒò	0	1718	í i d͡ʒ ò
4294	Yerisiam	Yerisiam	mother	60	áíi	áíi	mother-60	á í i	1452	á í i	7 7 7	XYZ	AII	60.A.V 60.I.V 60.I.V	1.5 1.3 0.8	áíi	0	1719	á í i
4295	Moor	Moor	mother	50	iná	iná	mother-2	i n á	1442	i n á	7 4 7	XBZ	INA	50.I.V 50.N.C 50.A.V	1.5 1.75 0.8	iná	0	1709	- - - - - i n - - á
4296	Warembori	Warembori	mother	56	nai	nai	mother-2	n a i	1442	n a i	4 7 7	AXZ	NAI	56.N.C 56.A.V 56.I.V	2.0 1.5 0.8	nai	0	1709	- - - - - - n - a i
4297	Cebuano_outgroup	Cebuano	mountain		bukid	bukid	mountain-	b u k i d	1453	b u k i d	1 7 1 7 1	AXBYN	PYKIT	.P.C .Y.V .K.C .I.V .T.c	2.0 1.5 1.75 1.3 0.8	bukid	0	1732	b u k i d
4298	Wamesa	WAD	mountain	30	wis	wis	mountain-1	w i s	1454	w i s	6 7 3	AXN	WIS	30.W.C 30.I.V 30.S.c	2.0 1.5 0.8	wis	0	1721	- - w i s -
4299	Ambai	Ambai	mountain	31	uai	uai	mountain-1	u a i	1454	u a i	7 7 7	XYZ	YAI	31.Y.V 31.A.V 31.I.V	1.5 1.3 0.8	uai	0	1733	u a i
4300	Ansus_PD	Ansus (P&D)	mountain	33	wi	wi	mountain-1	w i	1454	w i	6 7	AX	WI	33.W.C 33.I.V	2.0 1.5	wi	1	1721	- - w - - i
4301	Ansus_EG	Ansus (EG)	mountain		wi	wi	mountain-	w i	1453	w i	6 7	AX	WI	.W.C .I.V	2.0 1.5	wi	0	1721	- - w - - i
4302	Pom	Pom	mountain		tawui	tawui	mountain-	t a w u i	1453	t a w u i	1 7 6 7 7	AXBYZ	TAWYI	.T.C .A.V .W.C .Y.V .I.V	2.0 1.5 1.75 1.3 0.8	tawui	0	1721	t a w u - i
4303	Serui_Laut	Serui-Laut (slump)	mountain	53	wi	wi	mountain-1	w i	1454	w i	6 7	AX	WI	53.W.C 53.I.V	2.0 1.5	wi	0	1721	- - w - - i
4304	Kurudu	KURUDU	mountain	69	abobo	abobo	mountain-	a b o b o	1453	a b o b o	7 1 7 1 7	XBYBZ	APUPU	69.A.V 69.P.C 69.U.V 69.P.C 69.U.V	1.5 1.75 1.3 1.75 0.8	abobo	0	1729	a b o b o
4305	Biak_Betew	Biak Betew (Mutus)	mountain		bon	bon	mountain-	b o n	1453	b o n	1 7 4	AXN	PUN	.P.C .U.V .N.c	2.0 1.5 0.8	bon	0	1722	b o n - - - - - - - -
4306	Biak_Numfor	Biak Numfoor (Mandori)	mountain		bon bekaki	bon bekaki	mountain-	b o n _ b e k a k i	1453	b o n _ b e k a k i	1 7 4 9 1 7 1 7 1 7	AXN_AXBYBZ	PUN_PEKAKI	.P.C .U.V .N.c ._._ .P.C .E.V .K.C .A.V .K.C .I.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 1.3 1.75 0.8	bon_bekaki	0	1722	b o n _ b e - k a k i
4307	Roswar	Roswar	mountain	70	urek	urek	mountain-	u r e k	1453	u r e k	7 5 7 1	XBYN	YREK	70.Y.V 70.R.C 70.E.V 70.K.c	1.5 1.75 1.3 0.8	urek	0	1726	u r e k
4308	Roon	Roon	mountain		ryane bwon	ryane bwon	mountain-	r j a n e _ b w o n	1453	r j a n e _ b w o n	5 6 7 4 7 9 1 6 7 4	ACXBZ_ACXN	RJANE_PWUN	.R.C .J.C .A.V .N.C .E.V ._._ .P.C .W.C .U.V .N.c	2.0 1.5 1.5 1.75 0.8 0.0 2.0 1.5 1.5 0.8	rjane_bwon	0	1727	r j a n e _ b w o n
4309	Biga	Biga (rem)	mountain	37	yel	yel	mountain-2	j e l	1455	j e l	6 7 5	AXN	JEL	37.J.C 37.E.V 37.L.c	2.0 1.5 0.8	jel	0	1720	j e l
4310	Fiawat	Fiawat (fiawat)	mountain	40	deɟal	deɟal	mountain-40	d e ɟ a l	1456	d e ɟ a l	1 7 1 7 5	AXBYN	TECAL	40.T.C 40.E.V 40.C.C 40.A.V 40.L.c	2.0 1.5 1.75 1.3 0.8	deɟal	0	1731	d e ɟ a l
4311	Kawe	Kawe (rem)	mountain	44	yil	yil	mountain-2	j i l	1455	j i l	6 7 5	AXN	JIL	44.J.C 44.I.V 44.L.c	2.0 1.5 0.8	jil	0	1720	j i l
4312	Laganyan	Laganyan	mountain	46	yil	yil	mountain-2	j i l	1455	j i l	6 7 5	AXN	JIL	46.J.C 46.I.V 46.L.c	2.0 1.5 0.8	jil	0	1720	j i l
4313	Irarutu	Irarutu (Mats)	mountain	43	tró	tró	mountain-43	t r ó	1457	t r ó	1 5 7	ACX	TRU	43.T.C 43.R.C 43.U.V	2.0 1.5 1.5	tró	0	1730	t r ó
4314	Ambel	Ambel (rem)	mountain	32	il	il	mountain-2	i l	1455	i l	7 5	XN	IL	32.I.V 32.L.c	1.5 0.8	il	0	1720	- i l
4315	Matbat	Matbat	mountain	47	he³l	he³l	mountain-2	h ³/e l	1455	h e l	3 7 5	AXN	HEL	47.H.C 47.E.V 47.L.c	2.0 1.5 0.8	hel	0	1720	h ³/e l
4316	Maya_Misool	Ma'ya Misool	mountain	48	ye³l	ye³l	mountain-2	j ³/e l	1455	j e l	6 7 5	AXN	JEL	48.J.C 48.E.V 48.L.c	2.0 1.5 0.8	jel	0	1720	j ³/e l
4317	Maya_Salawati	Ma'ya Salawati	mountain	49	ye³l	ye³l	mountain-2	j ³/e l	1455	j e l	6 7 5	AXN	JEL	49.J.C 49.E.V 49.L.c	2.0 1.5 0.8	jel	0	1720	j ³/e l
4318	Sawai	Sawai (CAD)	mountain	51	mɛʔtɛt	mɛʔtɛt	mountain-51	m ɛ ʔ t ɛ t	1458	m ɛ ʔ t ɛ t	4 7 1 1 7 1	AXMBYN	MEHTET	51.M.C 51.E.V 51.H.c 51.T.C 51.E.V 51.T.c	2.0 1.5 1.1 1.75 1.3 0.8	mɛʔtɛt	0	1725	m ɛ ʔ t ɛ t
4319	Wauyai	Wauyai	mountain	58	yil	yil	mountain-2	j i l	1455	j i l	6 7 5	AXN	JIL	58.J.C 58.I.V 58.L.c	2.0 1.5 0.8	jil	0	1720	j i l
4320	Umar	Umar	mountain	55	rui	rui	mountain-55	r u i	1459	r u i	5 7 7	AXZ	RYI	55.R.C 55.Y.V 55.I.V	2.0 1.5 0.8	rui	0	1724	r u i
4321	Yaur	Yaur	mountain	59	ònggàjé	ònggàjé	mountain-59	ò ŋ g à d͡ʒ é	1461	ò ŋ g à d͡ʒ é	7 4 1 7 2 7	XMBYBZ	UNKACE	59.U.V 59.N.c 59.K.C 59.A.V 59.C.C 59.E.V	1.5 1.1 1.75 1.3 1.75 0.8	òŋgàd͡ʒé	0	1722	- - - - - ò ŋ g à d͡ʒ é
4322	Yerisiam	Yerisiam	mountain	60	éerìdìa	éerìdìa	mountain-2	é e r ì d ì a	1455	é e r ì d ì a	7 7 5 7 1 7 7	XYBYBYZ	EERITIA	60.E.V 60.E.V 60.R.C 60.I.V 60.T.C 60.I.V 60.A.V	1.5 1.3 1.75 1.3 1.75 1.3 0.8	éerìdìa	0	1723	é e r ì d ì a
4323	Moor	Moor	mountain	50	éra	éra	mountain-2	é r a	1455	é r a	7 5 7	XBZ	ERA	50.E.V 50.R.C 50.A.V	1.5 1.75 0.8	éra	0	1728	é r a
4324	Warembori	Warembori	mountain	56	dote-ro	dote-ro	mountain-56	d o t e r o	1460	d o t e r o	1 7 1 7 5 7	AXBYBZ	TUTERU	56.T.C 56.U.V 56.T.C 56.E.V 56.R.C 56.U.V	2.0 1.5 1.75 1.3 1.75 0.8	dotero	1	1721	d o t e r o
4325	Cebuano_outgroup	Cebuano	mouse, rat		ílagáʔ	ílagáʔ	mouse, rat-30	í l a g á ʔ	1465	í l a g á ʔ	7 5 7 1 7 1	XBYBYN	ILAKAH	.I.V .L.C .A.V .K.C .A.V .H.c	1.5 1.75 1.3 1.75 1.3 0.8	ílagáʔ	0	1747	í l a g á ʔ
4327	Wamesa	WAD	mouse, rat	30	waŋgar	waŋgar	mouse, rat-1	w a ŋ g a r	1463	w a ŋ g a r	6 7 4 1 7 5	AXMBYN	WANKAR	30.W.C 30.A.V 30.N.c 30.K.C 30.A.V 30.R.c	2.0 1.5 1.1 1.75 1.3 0.8	waŋgar	0	1736	w a ŋ g a r
4328	Ambai	Ambai	mouse, rat	31	karu	karu	mouse, rat-2	k a r u	1464	k a r u	1 7 5 7	AXBZ	KARY	31.K.C 31.A.V 31.R.C 31.Y.V	2.0 1.5 1.75 0.8	karu	0	1738	k a r - u
4329	Ansus_PD	Ansus (P&D)	mouse, rat	33	kapa manu	kapa manu	mouse, rat-33	k a p a _ m a n u	1466	k a p a _ m a n u	1 7 1 7 9 4 7 4 7	AXBZ_AXBZ	KAPA_MANY	33.K.C 33.A.V 33.P.C 33.A.V 33._._ 33.M.C 33.A.V 33.N.C 33.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	kapa_manu	0	1740	k a p a _ m a n u
4330	Ansus_EG	Ansus (EG)	mouse, rat		kapa	kapa	mouse, rat-	k a p a	1462	k a p a	1 7 1 7	AXBZ	KAPA	.K.C .A.V .P.C .A.V	2.0 1.5 1.75 0.8	kapa	0	1734	- - - - k - - a p a
4331	Pom	Pom	mouse, rat		kapa	kapa	mouse, rat-	k a p a	1462	k a p a	1 7 1 7	AXBZ	KAPA	.K.C .A.V .P.C .A.V	2.0 1.5 1.75 0.8	kapa	0	1734	- - - - k - - a p a
4332	Serui_Laut	Serui-Laut (slump)	mouse, rat	53	karu	karu	mouse, rat-2	k a r u	1464	k a r u	1 7 5 7	AXBZ	KARY	53.K.C 53.A.V 53.R.C 53.Y.V	2.0 1.5 1.75 0.8	karu	0	1734	- - - - k - - a r u
4333	Kurudu	KURUDU	mouse, rat	69	aŋanau	aŋanau	mouse, rat-	a ŋ a n a u	1462	a ŋ a n a u	7 4 7 4 7 7	XBYBYZ	ANANAY	69.A.V 69.N.C 69.A.V 69.N.C 69.A.V 69.Y.V	1.5 1.75 1.3 1.75 1.3 0.8	aŋanau	0	1745	a ŋ a n a u
4334	Biak	Biak	mouse, rat	36	wanggar	wanggar	mouse, rat-1	w a ŋ g a r	1463	w a ŋ g a r	6 7 4 1 7 5	AXMBYN	WANKAR	36.W.C 36.A.V 36.N.c 36.K.C 36.A.V 36.R.c	2.0 1.5 1.1 1.75 1.3 0.8	waŋgar	0	1736	w a ŋ g a r
4335	Biak_Betew	Biak Betew (Mutus)	mouse, rat		kafrar	kafrar	mouse, rat-	k a ɸ r a r	1462	k a ɸ r a r	1 7 3 5 7 5	AXBCYN	KABRAR	.K.C .A.V .B.C .R.C .A.V .R.c	2.0 1.5 1.75 1.5 1.3 0.8	kaɸrar	0	1736	k a ɸ r a r
4336	Biak_Numfor	Biak Numfoor (Mandori)	mouse, rat		kapai	kapai	mouse, rat-	k a p a i	1462	k a p a i	1 7 1 7 7	AXBYZ	KAPAI	.K.C .A.V .P.C .A.V .I.V	2.0 1.5 1.75 1.3 0.8	kapai	0	1734	- - - - k a p a - i
4337	Roswar	Roswar	mouse, rat	70	karau	karau	mouse, rat-	k a r a u	1462	k a r a u	1 7 5 7 7	AXBYZ	KARAY	70.K.C 70.A.V 70.R.C 70.A.V 70.Y.V	2.0 1.5 1.75 1.3 0.8	karau	0	1738	k a r a u
4338	Roon	Roon	mouse, rat		waŋgar	waŋgar	mouse, rat-	w a ŋ g a r	1462	w a ŋ g a r	6 7 4 1 7 5	AXMBYN	WANKAR	.W.C .A.V .N.c .K.C .A.V .R.c	2.0 1.5 1.1 1.75 1.3 0.8	waŋgar	0	1736	w a ŋ g a r
4339	Arguni	Arguni	mouse, rat	34	adombar	adombar	mouse, rat-34	a d o m b a r	1467	a d o m b a r	7 1 7 4 1 7 5	XBYMBYN	ATUMPAR	34.A.V 34.T.C 34.U.V 34.M.c 34.P.C 34.A.V 34.R.c	1.5 1.75 1.3 1.1 1.75 1.3 0.8	adombar	0	1739	a d o m b a r
4340	Biga	Biga (rem)	mouse, rat	37	kalof	kalof	mouse, rat-2	k a l o ɸ	1464	k a l o ɸ	1 7 5 7 3	AXBYN	KALUB	37.K.C 37.A.V 37.L.C 37.U.V 37.B.c	2.0 1.5 1.75 1.3 0.8	kaloɸ	0	1735	k a l o ɸ -
4341	Buli	Buli	mouse, rat	38	luf	luf	mouse, rat-2	l u ɸ	1464	l u ɸ	5 7 3	AXN	LYB	38.L.C 38.Y.V 38.B.c	2.0 1.5 0.8	luɸ	0	1735	- - l u ɸ -
4342	Gane	Gane	mouse, rat	41	luf	luf	mouse, rat-2	l u ɸ	1464	l u ɸ	5 7 3	AXN	LYB	41.L.C 41.Y.V 41.B.c	2.0 1.5 0.8	luɸ	0	1735	- - l u ɸ -
4343	Gebe	Gebe	mouse, rat	42	safsɛf	safsɛf	mouse, rat-43	s a ɸ s ɛ ɸ	1468	s a ɸ s ɛ ɸ	3 7 3 3 7 3	AXMBYN	SABSEB	42.S.C 42.A.V 42.B.c 42.S.C 42.E.V 42.B.c	2.0 1.5 1.1 1.75 1.3 0.8	saɸsɛɸ	0	1746	s a ɸ s ɛ ɸ
4344	Kowiai	Kowiai	mouse, rat	45	asafái	asafái	mouse, rat-45	a s a ɸ á i	1469	a s a ɸ á i	7 3 7 3 7 7	XBYBYZ	ASABAI	45.A.V 45.S.C 45.A.V 45.B.C 45.A.V 45.I.V	1.5 1.75 1.3 1.75 1.3 0.8	asaɸái	0	1737	a s a ɸ á i
4345	Irarutu	Irarutu (Mats)	mouse, rat	43	səfé	səfé	mouse, rat-43	s ə ɸ é	1468	s ə ɸ é	3 7 3 7	AXBZ	SEBE	43.S.C 43.E.V 43.B.C 43.E.V	2.0 1.5 1.75 0.8	səɸé	0	1737	- s ə ɸ é -
4346	Ambel	Ambel (rem)	mouse, rat	32	kalúbu	kalúbu	mouse, rat-2	k a l ú b u	1464	k a l ú b u	1 7 5 7 1 7	AXBYBZ	KALYPY	32.K.C 32.A.V 32.L.C 32.Y.V 32.P.C 32.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	kalúbu	0	1735	k a l ú b u
4347	Matbat	Matbat	mouse, rat	47	kalu³f	kalu³f	mouse, rat-2	k a l ³/u ɸ	1464	k a l u ɸ	1 7 5 7 3	AXBYN	KALYB	47.K.C 47.A.V 47.L.C 47.Y.V 47.B.c	2.0 1.5 1.75 1.3 0.8	kaluɸ	0	1735	k a l ³/u ɸ -
4348	Maya_Misool	Ma'ya Misool	mouse, rat	48	keluf	keluf	mouse, rat-2	k e l u ɸ	1464	k e l u ɸ	1 7 5 7 3	AXBYN	KELYB	48.K.C 48.E.V 48.L.C 48.Y.V 48.B.c	2.0 1.5 1.75 1.3 0.8	keluɸ	0	1735	k e l u ɸ -
4349	Maya_Salawati	Ma'ya Salawati	mouse, rat	49	kau21’lu3m	kau21’lu3m	mouse, rat-49	k a ²¹/u ʔ l ³/u m	1470	k a u ʔ l u m	1 7 7 1 5 7 4	AXYBCYN	KAYHLYM	49.K.C 49.A.V 49.Y.V 49.H.C 49.L.C 49.Y.V 49.M.c	2.0 1.5 1.3 1.75 1.5 1.3 0.8	kauʔlum	0	1744	k a ²¹/u ʔ l ³/u m
4350	Sawai	Sawai (CAD)	mouse, rat	51	luf	luf	mouse, rat-2	l u ɸ	1464	l u ɸ	5 7 3	AXN	LYB	51.L.C 51.Y.V 51.B.c	2.0 1.5 0.8	luɸ	0	1735	- - l u ɸ -
4351	Sekar	Sekar (ABVD)	mouse, rat	52	kofiata	kofiata	mouse, rat-52	k o ɸ i a t a	1471	k o ɸ i a t a	1 7 3 7 7 1 7	AXBYYBZ	KUBIATA	52.K.C 52.U.V 52.B.C 52.I.V 52.A.V 52.T.C 52.A.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	koɸiata	0	1742	k o ɸ i a t a
4352	Waropen	Waropen (held)	mouse, rat	57	afuno	afuno	mouse, rat-57	a ɸ u n o	1473	a ɸ u n o	7 3 7 4 7	XBYBZ	ABYNU	57.A.V 57.B.C 57.Y.V 57.N.C 57.U.V	1.5 1.75 1.3 1.75 0.8	aɸuno	0	1734	a ɸ - - - - - u n o
4353	Umar	Umar	mouse, rat	55	wanggar	wanggar	mouse, rat-1	w a ŋ g a r	1463	w a ŋ g a r	6 7 4 1 7 5	AXMBYN	WANKAR	55.W.C 55.A.V 55.N.c 55.K.C 55.A.V 55.R.c	2.0 1.5 1.1 1.75 1.3 0.8	waŋgar	0	1736	w a ŋ g a r
4354	Yaur	Yaur	mouse, rat	59	náhí'ùgré	náhí'ùgré	mouse, rat-59	n á h í ʔ ù g r é	1474	n á h í ʔ ù g r é	4 7 3 7 1 7 1 5 7	AXBYBYBCZ	NAHIHYKRE	59.N.C 59.A.V 59.H.C 59.I.V 59.H.C 59.Y.V 59.K.C 59.R.C 59.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.5 0.8	náhíʔùgré	0	1741	n á h í ʔ ù g r é
4355	Yerisiam	Yerisiam	mouse, rat	60	ábúukúmà	ábúukúmà	mouse, rat-60	á b ú u k ú m à	1475	á b ú u k ú m à	7 1 7 7 1 7 4 7	XBYYBYBZ	APYYKYMA	60.A.V 60.P.C 60.Y.V 60.Y.V 60.K.C 60.Y.V 60.M.C 60.A.V	1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	ábúukúmà	0	1734	á b ú u k - - ú m à
4356	Moor	Moor	mouse, rat	50	arúha	arúha	mouse, rat-2	a r ú h a	1464	a r ú h a	7 5 7 3 7	XBYBZ	ARYHA	50.A.V 50.R.C 50.Y.V 50.H.C 50.A.V	1.5 1.75 1.3 1.75 0.8	arúha	0	1743	a r ú h a
4357	Warembori	Warembori	mouse, rat	56	koya-ro	koya-ro	mouse, rat-56	k o j a r o	1472	k o j a r o	1 7 6 7 5 7	AXBYBZ	KUJARU	56.K.C 56.U.V 56.J.C 56.A.V 56.R.C 56.U.V	2.0 1.5 1.75 1.3 1.75 0.8	kojaro	0	1734	- - - - k o j a r o
4358	Cebuano_outgroup	Cebuano	mouth		ba'ba'	ba'ba'	mouth-1	b a ʔ b a ʔ	1477	b a ʔ b a ʔ	1 7 1 1 7 1	AXMBYN	PAHPAH	.P.C .A.V .H.c .P.C .A.V .H.c	2.0 1.5 1.1 1.75 1.3 0.8	baʔbaʔ	0	1761	b a ʔ b a ʔ
4361	Wamesa	WAD	mouth	30	sore	sore	mouth-1	s o r e	1477	s o r e	3 7 5 7	AXBZ	SURE	30.S.C 30.U.V 30.R.C 30.E.V	2.0 1.5 1.75 0.8	sore	0	1748	- - s o r e - -
4362	Ambai	Ambai	mouth	31	boro	boro	mouth-4	b o r o	1482	b o r o	1 7 5 7	AXBZ	PURU	31.P.C 31.U.V 31.R.C 31.U.V	2.0 1.5 1.75 0.8	boro	0	1752	b o r o
4363	Ansus_PD	Ansus (P&D)	mouth	33	woreu	woreu	mouth-4	w o r e u	1482	w o r e u	6 7 5 7 7	AXBYZ	WUREY	33.W.C 33.U.V 33.R.C 33.E.V 33.Y.V	2.0 1.5 1.75 1.3 0.8	woreu	0	1748	- - w o r e u -
