ID	DOCULECT	CONCEPT	LANGID	VALUE	FORM	COG	COGID	TOKENS
6313	Ma'ya Salawati	thatched roof	49	a21’ta3m	a21’ta3m	thatched roof-49	2218	a 21 ’ t a 3 m
6314	Sawai (CAD)	thatched roof	51	yɔtɛf	yɔtɛf	thatched roof-2	2213	y ɔ t ɛ f
6315	Sekar (ABVD)	thatched roof	52	sira faki-n	sira faki-n	thatched roof-52	2219	sira faki-n
6316	Waropen (held)	thatched roof	57	aka	aka	thatched roof-2	2213	a k a
6317	Umar	thatched roof	55	honno	honno	thatched roof-55	2220	h o nn o
6318	Yaur	thatched roof	59	hòròvré	hòròvré	thatched roof-55	2220	h ò r ò v r é
6319	Yerisiam	thatched roof	60	ákáráaníà	ákáráaníà	thatched roof-2	2213	á k á r á a n í à
6320	Moor	thatched roof	50	rà'a	rà'a	thatched roof-2	2213	r à 'a
6321	Warembori	thatched roof	56	matiran-do	matiran-do	thatched roof-56	2221	m a t i r a n d o
6322	PCEMP	thick	67	təlu, ma-kapal	təlu	thick-3	2225	t ə l u
6323	PCEMP	thick	67	təlu, ma-kapal	ma-kapal	thick-4	2229	m a k a p a l
6324	PMP	thick	68	ma-kapal	ma-kapal	thick-4	2229	m a k a p a l
6325	WAD	thick	30	batoyar	batoyar	thick-1	2223	b a t o y a r
6326	Ambai	thick	31	kakuban	kakuban	thick-31	2226	k a k u b a n
6327	Ansus (EG)	thick		tepei	tepei	thick-	2222	t e p e i
6328	Pom	thick		tapapei	tapapei	thick-	2222	t a p a p e i
6329	Serui-Laut (slump)	thick	53	biatoya	biatoya	thick-1	2223	b i a t o y a
6330	Biak	thick	36	kpor	kpor	thick-4	2229	k p o r
6331	Roon	thick		babua	babua	thick-	2222	b a b u a
6332	As (ABVD)	thick	35	mtalɔ	mtalɔ	thick-3	2225	m t a l ɔ
6333	Biga (rem)	thick	37	matɔlɔ	matɔlɔ	thick-37	2227	m a t ɔ l ɔ
6334	Buli	thick	38	kapcut	kapcut	thick-38	2228	k a p c u t
6335	Gane	thick	41	kamudi	kamudi	thick-2	2224	k a m u d i
6336	Gebe	thick	42	kapcit	kapcit	thick-38	2228	k a p c i t
6337	Kowiai	thick	45	fatóron	fatóron	thick-45	2230	f a t ó r o n
6338	Matbat	thick	47	faŋɔ⁴¹t	faŋɔ⁴¹t	thick-47	2231	f a ŋ ɔ ⁴¹ t
6339	Ma'ya Salawati	thick	49	-ma’to12K	-ma’to12K	thick-49	2232	m a ’ t o 12 K
6340	Sawai (CAD)	thick	51	n-bɛbtit	n-bɛbtit	thick-51	2234	n b ɛ b t i t
6341	Sekar (ABVD)	thick	52	ma|kafan	ma|kafan	thick-52	2235	m a| k a f a n
6342	Taba	thick	54	kamudu	kamudu	thick-2	2224	k a m u d u
6343	Waropen (held)	thick	57	fahairi	fahairi	thick-57	2236	f a h a i r i
6344	Umar	thick	55	kamo	kamo	thick-2	2224	k a m o
6345	Yaur	thick	59	nétrógwáe	nétrógwáe	thick-59	2237	n é t r ó g w á e
6346	Yerisiam	thick	60	átatóorí	átatóorí	thick-1	2223	á t a t ó o r í
6347	Moor	thick	50	vo'orinî	vo'orinî	thick-50	2233	v o 'o r i n î
6348	PCEMP	thin	67	ma-nipis	ma-nipis	thin-1	2239	m a n i p i s
6349	PMP	thin	68	ma-nipis	ma-nipis	thin-1	2239	m a n i p i s
6350	WAD	thin	30	minis	minis	thin-1	2239	m i n i s
6351	Ambai	thin	31	simbena	simbena	thin-2	2240	s i m b e n a
6352	Ansus (EG)	thin		meni	meni	thin-	2238	m e n i
6353	Pom	thin		manani	manani	thin-	2238	m a n a n i
6354	Serui-Laut (slump)	thin	53	sambena	sambena	thin-2	2240	s a m b e n a
6355	Biak	thin	36	mbrěkip	mbrěkip	thin-36	2242	m b r ě k i p
6356	Roon	thin		bua va	bua va	thin-	2238	bua va
6357	As (ABVD)	thin	35	dasis	dasis	thin-35	2241	d a s i s
6358	Biga (rem)	thin	37	maglegef	maglegef	thin-37	2243	m a g l e g e f
6359	Buli	thin	38	mlifis	mlifis	thin-1	2239	m l i f i s
6360	Gane	thin	41	manifis	manifis	thin-1	2239	m a n i f i s
6361	Gebe	thin	42	kabalal	kabalal	thin-42	2244	k a b a l a l
6362	Kowiai	thin	45	manifin	manifin	thin-1	2239	m a n i f i n
6363	Irarutu (Mats)	thin	43	bə|nənifə|ne	bə|nənifə|ne	thin-1	2239	b ə| n ə n i f ə| n e
6364	Matbat	thin	47	wi¹n	wi¹n	thin-47	2245	w i ¹ n
6365	Ma'ya Salawati	thin	49	mas’nyi3N	mas’nyi3N	thin-49	2246	m a s ’ n y i 3 N
6366	Sawai (CAD)	thin	51	n-mɛnifɛs	n-mɛnifɛs	thin-1	2239	n m ɛ n i f ɛ s
