ID	DOCULECT	CONCEPT	LANGID	VALUE	FORM	COG	COGID	TOKENS
1031	Roswar	blue/green	70	we-weruaren	we-weruaren	blue/green-	310	w e w e r u a r e n
1032	Arguni	blue/green	34	sasioror	sasioror	blue/green-34	314	s a s i o r o r
1033	As (ABVD)	blue/green	35	manis	manis	blue/green-35	315	m a n i s
1034	Biga (rem)	blue/green	37	bala	bala	blue/green-2	312	b a l a
1035	Buli	blue/green	38	bisbis	bisbis	blue/green-38	317	b i s b i s
1036	Fiawat (fiawat)	blue/green	40	melaw	melaw	blue/green-2	312	m e l a w
1037	Gane	blue/green	41	biru	biru	blue/green-41	318	b i r u
1038	Gebe	blue/green	42	hijau	hijau	blue/green-42	319	h i j a u
1039	Kawe (rem)	blue/green	44	mala(o)	mala(o)	blue/green-2	312	m a l a ( o )
1040	Kowiai	blue/green	45	mamáta	mamáta	blue/green-3	313	m a m á t a
1041	Laganyan	blue/green	46	mala	mala	blue/green-2	312	m a l a
1042	Irarutu (Mats)	blue/green	43	məmatə	məmatə	blue/green-3	313	m ə m a t ə
1043	Ambel (rem)	blue/green	32	ambyau	ambyau	blue/green-2	312	a m b y a u
1044	Matbat	blue/green	47	bla¹²w	bla¹²w	blue/green-2	312	b l a ¹² w
1045	Ma'ya Misool	blue/green	48	mala³	mala³	blue/green-2	312	m a l a ³
1046	Ma'ya Salawati	blue/green	49	mala³	mala³	blue/green-2	312	m a l a ³
1047	Sawai (CAD)	blue/green	51	n-bɛsbɛs	n-bɛsbɛs	blue/green-38	317	n b ɛ s b ɛ s
1048	Sekar (ABVD)	blue/green	52	matmatak	matmatak	blue/green-3	313	m a t m a t a k
1049	Wauyai	blue/green	58	mala	mala	blue/green-3	313	m a l a
1050	Waropen (held)	blue/green	57	kakesio	kakesio	blue/green-1	311	k a k e s i o
1051	Umar	blue/green	55	mkat	mkat	blue/green-1	311	m k a t
1052	Yaur	blue/green	59	máa'rùrìe	máa'rùrìe	blue/green-3	313	m á a 'r ù r ì e
1053	Yerisiam	blue/green	60	ahir mákmáaká	ahir mákmáaká	blue/green-3	313	ahir mákmáaká
1054	Moor	blue/green	50	ma'ama'î	ma'ama'î	blue/green-3	313	m a 'a m a 'î
1055	Warembori	blue/green	56	mamasi	mamasi	blue/green-56	321	m a m a s i
1056	PCEMP	body, flesh, meat	67	isi	isi	body, flesh, meat-	322	i s i
1057	WAD	body, flesh, meat	30	tarai	tarai	body, flesh, meat-1	323	t a r a i
1058	Ambai	body, flesh, meat	31	tarai	tarai	body, flesh, meat-1	323	t a r a i
1059	Ansus (P&D)	body, flesh, meat	33	tarai	tarai	body, flesh, meat-1	323	t a r a i
1060	Ansus (EG)	body, flesh, meat		nentarai	nentarai	body, flesh, meat-	322	n e n t a r a i
1061	Pom	body, flesh, meat		nutarai	nutarai	body, flesh, meat-	322	n u t a r a i
1062	Serewen	body, flesh, meat		(we)nutarai	(we)nutarai	body, flesh, meat-	322	( w e ) n u t a r a i
1063	Serui-Laut (slump)	body, flesh, meat	53	tarai	tarai	body, flesh, meat-1	323	t a r a i
1064	KURUDU	body, flesh, meat	69	nutra / tra	nutra / tra	body, flesh, meat-	322	nutra / tra
1065	Biak	body, flesh, meat	36	kraf	kraf	body, flesh, meat-1	323	k r a f
1066	Biak Betew (Mutus)	body, flesh, meat		baken, kraf	baken	body, flesh, meat-	322	b a k e n
1067	Biak Numfoor (Mandori)	body, flesh, meat		baken / kraf	baken / kraf	body, flesh, meat-	322	baken / kraf
1068	Roswar	body, flesh, meat	70	krafauna / kraf	krafauna / kraf	body, flesh, meat-	322	krafauna / kraf
1069	Roon	body, flesh, meat		karaf	karaf	body, flesh, meat-	322	k a r a f
1070	Arguni	body, flesh, meat	34	dagim	dagim	body, flesh, meat-34	325	d a g i m
1071	As (ABVD)	body, flesh, meat	35	nuana	nuana	body, flesh, meat-35	326	n u a n a
1072	Biga (rem)	body, flesh, meat	37	wanat(o), dagim	wanat(o)	body, flesh, meat-2	324	w a n a t ( o )
1073	Biga (rem)	body, flesh, meat	37	wanat(o), dagim	dagim	body, flesh, meat-34	325	d a g i m
1074	Buli	body, flesh, meat	38	wàŋat	wàŋat	body, flesh, meat-2	324	w à ŋ a t
1075	Fiawat (fiawat)	body, flesh, meat	40	wanat	wanat	body, flesh, meat-2	324	w a n a t
1076	Gane	body, flesh, meat	41	wontu	wontu	body, flesh, meat-2	324	w o n t u
1077	Gebe	body, flesh, meat	42	waŋat	waŋat	body, flesh, meat-2	324	w a ŋ a t
1078	Kawe (rem)	body, flesh, meat	44	awanat	awanat	body, flesh, meat-2	324	a w a n a t
1079	Kowiai	body, flesh, meat	45	ses	ses	body, flesh, meat-45	328	s e s
1080	Laganyan	body, flesh, meat	46	awanat	awanat	body, flesh, meat-2	324	a w a n a t
1081	Irarutu (Mats)	body, flesh, meat	43	təní	təní	body, flesh, meat-43	327	t ə n í
1082	Ambel (rem)	body, flesh, meat	32	wanat(i)	wanat(i)	body, flesh, meat-2	324	w a n a t ( i )
1083	Matbat	body, flesh, meat	47	ŋa²¹t	ŋa²¹t	body, flesh, meat-2	324	ŋ a ²¹ t
1084	Ma'ya Misool	body, flesh, meat	48	wana¹²t	wana¹²t	body, flesh, meat-2	324	w a n a ¹² t
1085	Ma'ya Salawati	body, flesh, meat	49	wana³t	wana³t	body, flesh, meat-2	324	w a n a ³ t
1086	Sekar (ABVD)	body, flesh, meat	52	isi-n	isi-n	body, flesh, meat-52	329	i s i n
1087	Taba	body, flesh, meat	54	wokno	wokno	body, flesh, meat-54	330	w o k n o
1088	Wauyai	body, flesh, meat	58	kawanat	kawanat	body, flesh, meat-2	324	k a w a n a t
1089	Waropen (held)	body, flesh, meat	57	ado	ado	body, flesh, meat-57	332	a d o
1090	Umar	body, flesh, meat	55	trai	trai	body, flesh, meat-1	323	t r a i
1091	Yaur	body, flesh, meat	59	báakánà	báakánà	body, flesh, meat-59	333	b á a k á n à
1092	Yerisiam	body, flesh, meat	60	krádìa	krádìa	body, flesh, meat-60	334	k r á d ì a
1093	Moor	body, flesh, meat	50	tura	tura	body, flesh, meat-1	323	t u r a
1094	Warembori	body, flesh, meat	56	nu-ro	nu-ro	body, flesh, meat-56	331	n u r o
1095	PCEMP	bone	67	duRi	duRi	bone-3	338	d u R i
1096	PMP	bone	68	tuqelan, duri	tuqelan	bone-2	337	t u q e l a n
1097	PMP	bone	68	tuqelan, duri	duri	bone-3	338	d u r i
1098	WAD	bone	30	sina	sina	bone-4	340	s i n a
1099	Ambai	bone	31	ina	ina	bone-4	340	i n a
1100	Ansus (P&D)	bone	33	ina	ina	bone-4	340	i n a
1101	Ansus (EG)	bone		neina	neina	bone-	335	n e i n a
1102	Pom	bone		nehina	nehina	bone-	335	n e h i n a
1103	Serewen	bone		nehina	nehina	bone-	335	n e h i n a
1104	Serui-Laut (slump)	bone	53	ina	ina	bone-4	340	i n a
1105	KURUDU	bone	69	prai	prai	bone-	335	p r a i
1106	Biak	bone	36	kor	kor	bone-2	337	k o r
1107	Biak Betew (Mutus)	bone		koer	koer	bone-2	337	k o e r
1108	Biak Numfoor (Mandori)	bone		kor	kor	bone-2	337	k o r
1109	Roswar	bone	70	kor	kor	bone-2	337	k o r
1110	Roon	bone		kor	kor	bone-2	337	k o r
1111	Dusner	bone	39	tor	tor	bone-2	337	t o r
1112	Arguni	bone	34	tor	tor	bone-2	337	t o r
1113	As (ABVD)	bone	35	taɔ	taɔ	bone-35	339	t a ɔ
1114	Biga (rem)	bone	37	kabom(o)	kabom(o)	bone-1	336	k a b o m ( o )
1115	Buli	bone	38	loŋ	loŋ	bone-2	337	l o ŋ
1116	Fiawat (fiawat)	bone	40	abom	abom	bone-1	336	a b o m
1117	Gane	bone	41	moma	moma	bone-41	341	m o m a
1118	Gebe	bone	42	kalɔŋ	kalɔŋ	bone-2	337	k a l ɔ ŋ
1119	Kawe (rem)	bone	44	abom	abom	bone-1	336	a b o m
1120	Kowiai	bone	45	rur	rur	bone-3	338	r u r
1121	Laganyan	bone	46	abom	abom	bone-1	336	a b o m
1122	Irarutu (Mats)	bone	43	rure	rure	bone-3	338	r u r e
1123	Ambel (rem)	bone	32	kabom	kabom	bone-1	336	k a b o m
1124	Matbat	bone	47	bo²¹m	bo²¹m	bone-1	336	b o ²¹ m
1125	Ma'ya Misool	bone	48	kabo¹²m	kabo¹²m	bone-1	336	k a b o ¹² m
1126	Ma'ya Salawati	bone	49	kabo¹²m	kabo¹²m	bone-1	336	k a b o ¹² m
1127	Sekar (ABVD)	bone	52	ruri|r	ruri|r	bone-3	338	r u r i| r
1128	Taba	bone	54	yoyo	yoyo	bone-54	342	y o y o
1129	Wauyai	bone	58	kabom	kabom	bone-1	336	k a b o m
1130	Waropen (held)	bone	57	kori	kori	bone-2	337	k o r i
1131	Umar	bone	55	tor	tor	bone-2	337	t o r
1132	Yaur	bone	59	òórè	òórè	bone-2	337	ò ó r è
1133	Yerisiam	bone	60	kóovárà	kóovárà	bone-2	337	k ó o v á r à
1134	Moor	bone	50	òro	òro	bone-2	337	ò r o
1135	Warembori	bone	56	ke-kombo-ro	ke-kombo-ro	bone-56	343	k e k o m b o r o
1136	PCEMP	branch	67	saŋan	saŋan	branch-4	349	s a ŋ a n
1137	PMP	branch	68	saŋan	saŋan	branch-4	349	s a ŋ a n
1138	WAD	branch	30	rawan	rawan	branch-31	345	r a w a n
1139	Ambai	branch	31	arawan	arawan	branch-31	345	a r a w a n
1140	Ansus (EG)	branch		arawan	arawan	branch-	344	a r a w a n
1141	Pom	branch		ayahai	ayahai	branch-	344	a y a h a i
1142	Serui-Laut (slump)	branch	53	arawai	arawai	branch-31	345	a r a w a i
1143	Biak	branch	36	snau	snau	branch-36	347	s n a u
1144	Roon	branch		sanau	sanau	branch-	344	s a n a u
1145	Buli	branch	38	maglo	maglo	branch-38	348	m a g l o
1146	Gane	branch	41	kakolu	kakolu	branch-41	350	k a k o l u
1147	Kowiai	branch	45	sang ai	sang ai	branch-4	349	sang ai
1148	Irarutu (Mats)	branch	43	erànə	erànə	branch-43	351	e r à n ə
1149	Ambel (rem)	branch	32	kóp	kóp	branch-32	346	k ó p
1150	Matbat	branch	47	ŋa²¹l	ŋa²¹l	branch-47	352	ŋ a ²¹ l
1151	Ma'ya Salawati	branch	49	ka ʃa¹²n	ka ʃa¹²n	branch-49	353	ka ʃa¹²n
1152	Sawai (CAD)	branch	51	sɛŋsɔŋ	sɛŋsɔŋ	branch-4	349	s ɛ ŋ s ɔ ŋ
1153	Sekar (ABVD)	branch	52	saga-n	saga-n	branch-4	349	s a g a n
1154	Waropen (held)	branch	57	oa	oa	branch-57	356	o a
1155	Umar	branch	55	gehia	gehia	branch-55	355	g e h i a
1156	Yaur	branch	59	hàgwàáré	hàgwàáré	branch-59	357	h à g w à á r é
1157	Yerisiam	branch	60	áháháagwà	áháháagwà	branch-59	357	á h á h á a g w à
1158	Moor	branch	50	ùvu	ùvu	branch-50	354	ù v u
1159	PCEMP	breast	67	susu	susu	breast-1	359	s u s u
1160	PMP	breast	68	susu	susu	breast-1	359	s u s u
1161	WAD	breast	30	susu	susu	breast-1	359	s u s u
1162	Ambai	breast	31	ui	ui	breast-1	359	u i
1163	Ansus (P&D)	breast	33	u	u	breast-1	359	u
1164	Serui-Laut (slump)	breast	53	su	su	breast-1	359	s u
1165	KURUDU	breast	69	rokre / boh	rokre / boh	breast-	358	rokre / boh
1166	Biak	breast	36	sus	sus	breast-1	359	s u s
1167	Biak Betew (Mutus)	breast		anderkoer / tut	anderkoer / tut	breast-	358	anderkoer / tut
1168	Biak Numfoor (Mandori)	breast		anderkor	anderkor	breast-	358	a n d e r k o r
1169	Roswar	breast	70	ander / von	ander / von	breast-	358	ander / von
1170	Arguni	breast	34	sus	sus	breast-1	359	s u s
1171	As (ABVD)	breast	35	sus	sus	breast-1	359	s u s
1172	Biga (rem)	breast	37	sus	sus	breast-1	359	s u s
1173	Buli	breast	38	sus	sus	breast-1	359	s u s
1174	Fiawat (fiawat)	breast	40	suh	suh	breast-1	359	s u h
1175	Gane	breast	41	susu	susu	breast-1	359	s u s u
1176	Gebe	breast	42	sus	sus	breast-1	359	s u s
1177	Kawe (rem)	breast	44	su	su	breast-1	359	s u
1178	Kowiai	breast	45	sus	sus	breast-1	359	s u s
1179	Laganyan	breast	46	tut	tut	breast-1	359	t u t
1180	Irarutu (Mats)	breast	43	susu	susu	breast-1	359	s u s u
1181	Ambel (rem)	breast	32	su	su	breast-1	359	s u
1182	Matbat	breast	47	su³	su³	breast-1	359	s u ³
1183	Ma'ya Misool	breast	48	su³s	su³s	breast-1	359	s u ³ s
1184	Ma'ya Salawati	breast	49	su³s	su³s	breast-1	359	s u ³ s
1185	Sawai (CAD)	breast	51	sus	sus	breast-1	359	s u s
1186	Sekar (ABVD)	breast	52	susi	susi	breast-1	359	s u s i
1187	Taba	breast	54	susu	susu	breast-1	359	s u s u
1188	Wauyai	breast	58	su	su	breast-1	359	s u
1189	Waropen (held)	breast	57	susi	susi	breast-1	359	s u s i
1190	Umar	breast	55	huhu	huhu	breast-1	359	h u h u
1191	Yaur	breast	59	súhìe	súhìe	breast-1	359	s ú h ì e
1192	Yerisiam	breast	60	húuhúgùa	húuhúgùa	breast-1	359	h ú u h ú g ù a
1193	Moor	breast	50	túta	túta	breast-1	359	t ú t a
1194	Warembori	breast	56	ke-tutu-ro	ke-tutu-ro	breast-1	359	k e t u t u r o
1195	PCEMP	breathe	67	ma-ñawa	ma-ñawa	breathe-1	361	m a ñ a w a
1196	PMP	breathe	68	ma-ñawa	ma-ñawa	breathe-1	361	m a ñ a w a
1197	WAD	breathe	30	surap	surap	breathe-30	362	s u r a p
1198	Ambai	breathe	31	aiou	aiou	breathe-31	363	a i o u
1199	Ansus (EG)	breathe		aseŋ	aseŋ	breathe-	360	a s e ŋ
1200	Pom	breathe		hasen	hasen	breathe-	360	h a s e n
1201	Biak	breathe	36	mnasu	mnasu	breathe-1	361	m n a s u
1202	Roon	breathe		so sasen	so sasen	breathe-	360	so sasen
1203	Arguni	breathe	34	binapes	binapes	breathe-34	364	b i n a p e s
1204	Biga (rem)	breathe	37	nafas	nafas	breathe-37	365	n a f a s
1205	Buli	breathe	38	fawa	fawa	breathe-38	366	f a w a
1206	Gane	breathe	41	manou	manou	breathe-1	361	m a n o u
1207	Gebe	breathe	42	fa|ñawaya	fa|ñawaya	breathe-1	361	f a| ñ a w a y a
1208	Kowiai	breathe	45	sa'a la'esa	sa'a la'esa	breathe-45	368	sa'a la'esa
1209	Irarutu (Mats)	breathe	43	me|sagwe	me|sagwe	breathe-43	367	m e| s a g w e
1210	Sekar (ABVD)	breathe	52	seg	seg	breathe-52	369	s e g
1211	Taba	breathe	54	manowo	manowo	breathe-1	361	m a n o w o
1212	Waropen (held)	breathe	57	sasi	sasi	breathe-57	371	s a s i
1213	Umar	breathe	55	urojae	urojae	breathe-55	370	u r o j a e
1214	Yerisiam	breathe	60	urá nsì ómóománà	urá nsì ómóománà	breathe-60	372	urá nsì ómóománà
1215	PCEMP	burn	67	tunu	tunu	burn-3	376	t u n u
1216	PMP	burn	68	tunu	tunu	burn-3	376	t u n u
1217	Ambai	burn	31	nunun	nunun	burn-3	376	n u n u n
1218	Ansus (P&D)	burn	33	nunuŋ	nunuŋ	burn-3	376	n u n u ŋ
1219	Ansus (EG)	burn		rapa	rapa	burn-	373	r a p a
1220	Pom	burn		paruar	paruar	burn-	373	p a r u a r
1221	Biak	burn	36	kun	kun	burn-3	376	k u n
1222	Roon	burn		kun	kun	burn-	373	k u n
1223	Biga (rem)	burn	37	l-agi'nim, n-amat	l-agi'nim	burn-4	377	l a g i 'n i m
1224	Biga (rem)	burn	37	l-agi'nim, n-amat	n-amat	burn-5	381	n a m a t
1225	Buli	burn	38	mgini	mgini	burn-4	377	m g i n i
1226	Fiawat (fiawat)	burn	40	l-eʔlah	l-eʔlah	burn-40	378	l e ʔ l a h
1227	Gane	burn	41	slai	slai	burn-41	379	s l a i
1228	Kawe (rem)	burn	44	ablay, nyamat	ablay	burn-2	375	a b l a y
1229	Kawe (rem)	burn	44	ablay, nyamat	nyamat	burn-5	381	n y a m a t
1230	Kowiai	burn	45	talaf	talaf	burn-45	380	t a l a f
1231	Laganyan	burn	46	nyamat	nyamat	burn-5	381	n y a m a t
1232	Ambel (rem)	burn	32	anan, asabyay	anan	burn-1	374	a n a n
1233	Ambel (rem)	burn	32	anan, asabyay	asabyay	burn-2	375	a s a b y a y
1234	Matbat	burn	47	pa³n	pa³n	burn-1	374	p a ³ n
1235	Ma'ya Misool	burn	48	wagini³m, ny-ama¹²t	wagini³m	burn-4	377	w a g i n i ³ m
1236	Ma'ya Misool	burn	48	wagini³m, ny-ama¹²t	ny-ama¹²t	burn-5	381	n y a m a ¹² t
1237	Ma'ya Salawati	burn	49	ny-ama³t	ny-ama³t	burn-5	381	n y a m a ³ t
1238	Sekar (ABVD)	burn	52	agrasa	agrasa	burn-52	382	a g r a s a
1239	Taba	burn	54	magesay	magesay	burn-54	383	m a g e s a y
1240	Wauyai	burn	58	w-asablay, nyamat	w-asablay	burn-2	375	w a s a b l a y
1241	Wauyai	burn	58	w-asablay, nyamat	nyamat	burn-5	381	n y a m a t
1242	Waropen (held)	burn	57	rapari	rapari	burn-57	384	r a p a r i
1243	Umar	burn	55	an	an	burn-1	374	a n
1244	Yaur	burn	59	àágrè, 'úndè	àágrè	burn-1	374	à á g r è
1245	Yaur	burn	59	àágrè, 'úndè	'úndè	burn-3	376	'ú n d è
1246	Yerisiam	burn	60	íaané, kúuna	íaané	burn-1	374	í aa n é
1247	Yerisiam	burn	60	íaané, kúuna	kúuna	burn-3	376	k ú u n a
1248	Moor	burn	50	'unî	'unî	burn-3	376	'u n î
1249	Warembori	burn	56	kuni	kuni	burn-1	374	k u n i
1250	WAD	butterfly	30	apopi	apopi	butterfly-1	386	a p o p i
1251	Ambai	butterfly	31	apopa, kamambo	apopa	butterfly-1	386	a p o p a
1252	Ambai	butterfly	31	apopa, kamambo	kamambo	butterfly-2	387	k a m a m b o
1253	Ansus (P&D)	butterfly	33	apopa	apopa	butterfly-1	386	a p o p a
1254	Ansus (EG)	butterfly		apopa	apopa	butterfly-	385	a p o p a
1255	Pom	butterfly		apopa	apopa	butterfly-	385	a p o p a
1256	Serui-Laut (slump)	butterfly	53	kamambo	kamambo	butterfly-2	387	k a m a m b o
1257	Biak	butterfly	36	àpòp	àpòp	butterfly-1	386	à p ò p
1258	Roon	butterfly		manipopi	manipopi	butterfly-	385	m a n i p o p i
1259	Biga (rem)	butterfly	37	kalabu'bun	kalabu'bun	butterfly-3	388	k a l a b u 'b u n
1260	Buli	butterfly	38	aibobaŋ	aibobaŋ	butterfly-1	386	a i b o b a ŋ
1261	Fiawat (fiawat)	butterfly	40	karobum	karobum	butterfly-3	388	k a r o b u m
1262	Kawe (rem)	butterfly	44	(l)abyo'bon	(l)abyo'bon	butterfly-1	386	( l ) a b y o 'b o n
1263	Laganyan	butterfly	46	abyo'bon	abyo'bon	butterfly-1	386	a b y o 'b o n
1264	Irarutu (Mats)	butterfly	43	apápro	apápro	butterfly-1	386	a p á p r o
1265	Ambel (rem)	butterfly	32	kababat	kababat	butterfly-32	389	k a b a b a t
1266	Matbat	butterfly	47	wa³bi³m	wa³bi³m	butterfly-47	390	w a ³ b i ³ m
1267	Ma'ya Misool	butterfly	48	kala'byobo¹²n	kala'byobo¹²n	butterfly-1	386	k a l a 'b y o b o ¹² n
1268	Ma'ya Salawati	butterfly	49	kala'byobo³n	kala'byobo³n	butterfly-1	386	k a l a 'b y o b o ³ n
1269	Sawai (CAD)	butterfly	51	kalɛbobɛn	kalɛbobɛn	butterfly-1	386	k a l ɛ b o b ɛ n
1270	Umar	butterfly	55	kuber	kuber	butterfly-55	392	k u b e r
1271	Yaur	butterfly	59	mámúù'ré	mámúù'ré	butterfly-59	393	m á m ú ù 'r é
1272	Yerisiam	butterfly	60	kápóòpà	kápóòpà	butterfly-60	394	k á p ó ò p à
1273	Moor	butterfly	50	gwarimamó'a	gwarimamó'a	butterfly-50	391	g w a r i m a m ó 'a
1274	PCEMP	buy	67	bəli	bəli	buy-1	396	b ə l i
1275	PMP	buy	68	beli	beli	buy-1	396	b e l i
1276	WAD	buy	30	vori	vori	buy-1	396	v o r i
1277	Ambai	buy	31	worir	worir	buy-	395	w o r i r
1278	Ansus (EG)	buy		vori	vori	buy-	395	v o r i
1279	Pom	buy		awayaŋ	awayaŋ	buy-	395	a w a y a ŋ
1280	Serewen	buy		avai	avai	buy-	395	a v a i
1281	Serui-Laut (slump)	buy	53	wori	wori	buy-1	396	w o r i
1282	Biak	buy	36	kòběs	kòběs	buy-36	398	k ò b ě s
1283	Roon	buy		koves	koves	buy-	395	k o v e s
1284	Arguni	buy	34	taʔun	taʔun	buy-34	397	t a ʔ u n
1285	Biga (rem)	buy	37	sili	sili	buy-37	399	s i l i
1286	Buli	buy	38	gon	gon	buy-38	400	g o n
1287	Gane	buy	41	tua	tua	buy-41	401	t u a
1288	Gebe	buy	42	tukal	tukal	buy-42	402	t u k a l
1289	Kowiai	buy	45	manggúr	manggúr	buy-45	404	m a n gg ú r
1290	Irarutu (Mats)	buy	43	mə|gu-rə	mə|gu-rə	buy-43	403	m ə| g u r ə
1291	Ambel (rem)	buy	32	síri	síri	buy-37	399	s í r i
1292	Matbat	buy	47	ɔ²¹p	ɔ²¹p	buy-47	405	ɔ ²¹ p
1293	Sekar (ABVD)	buy	52	toin	toin	buy-52	406	t o i n
1294	Waropen (held)	buy	57	owuko	owuko	buy-57	407	o w u k o
1295	Umar	buy	55	tuat	tuat	buy-41	401	t u a t
1296	Yaur	buy	59	úuhnè	úuhnè	buy-59	408	ú u h n è
1297	Yerisiam	buy	60	áahè	áahè	buy-60	409	á a h è
1298	WAD	call	30	sau	sau	call-1	411	s a u
1299	Ambai	call	31	saku (S)	saku (S)	call-1	411	saku (S)
1300	Ansus (EG)	call		au	au	call-	410	a u
1301	Pom	call		hahau	hahau	call-	410	h a h a u
1302	Serui-Laut (slump)	call	53	au	au	call-1	411	a u
1303	Roon	call		or, yap	or	call-	410	o r
1304	Dusner	call	39	or	or	call-2	412	o r
1305	Umar	call	55	otnai	otnai	call-55	413	o t n a i
1306	Yerisiam	call	60	díóí	díóí	call-60	414	d í ó í
1307	Moor	call	50	orî	orî	call-2	412	o r î
1308	PCEMP	canoe	67	waŋka	waŋka	canoe-1	415	w a ŋ k a
1309	PMP	canoe	68	waŋka	waŋka	canoe-1	415	w a ŋ k a
1310	WAD	canoe	30	wa	wa	canoe-1	415	w a
1311	Ambai	canoe	31	wa	wa	canoe-1	415	w a
1312	Ansus (P&D)	canoe	33	wa	wa	canoe-1	415	w a
1313	Ansus (EG)	canoe		wa	wa	canoe-1	415	w a
1314	Pom	canoe		wa	wa	canoe-1	415	w a
1315	Serui-Laut (slump)	canoe	53	wa	wa	canoe-1	415	w a
1316	KURUDU	canoe	69	wa	wa	canoe-1	415	w a
1317	Biak	canoe	36	wa(i)	wa(i)	canoe-1	415	w a ( i )
1318	Biak Betew (Mutus)	canoe		wai	wai	canoe-1	415	w a i
1319	Biak Numfoor (Mandori)	canoe		wai	wai	canoe-1	415	w a i
1320	Roswar	canoe	70	wa	wa	canoe-1	415	w a
1321	Roon	canoe		wa	wa	canoe-1	415	w a
1322	Dusner	canoe	39	wak	wak	canoe-1	415	w a k
1323	Irarutu (Mats)	canoe	43	jú	jú	canoe-43	416	j ú
1324	Ambel (rem)	canoe	32	wan	wan	canoe-1	415	w a n
1325	Matbat	canoe	47	wa³ŋ	wa³ŋ	canoe-1	415	w a ³ ŋ
1326	Ma'ya Salawati	canoe	49	wa¹²k	wa¹²k	canoe-1	415	w a ¹² k
1327	Waropen (held)	canoe	57	gha	gha	canoe-1	415	g h a
1328	Umar	canoe	55	naven	naven	canoe-55	417	n a v e n
1329	Yaur	canoe	59	vìgré	vìgré	canoe-59	418	v ì g r é
1330	Yerisiam	canoe	60	gwáà	gwáà	canoe-1	415	g w á à
1331	Moor	canoe	50	gwá'a	gwá'a	canoe-1	415	g w á 'a
1332	Warembori	canoe	56	wa-ro	wa-ro	canoe-1	415	w a r o
1333	PMP	carry	68	watang, baba	watang	carry-4	424	w a t a n g
1334	PMP	carry	68	watang, baba	baba	carry-5	428	b a b a
1335	WAD	carry	30	bai	bai	carry-1	420	b a i
1336	Ambai	carry	31	baki	baki	carry-1	420	b a k i
1337	Ansus (P&D)	carry	33	bo	bo	carry-33	422	b o
1338	Ansus (EG)	carry		ko	ko	carry-	419	k o
1339	Pom	carry		kotaveri	kotaveri	carry-	419	k o t a v e r i
1340	Serui-Laut (slump)	carry	53	anoi	anoi	carry-53	429	a n o i
1341	KURUDU	carry	69	?	?	carry-	419	?
1342	Biak	carry	36	wer	wer	carry-36	423	w e r
1343	Biak Betew (Mutus)	carry		y-uen	y-uen	carry-	419	y u e n
1344	Biak Numfoor (Mandori)	carry		d-une	d-une	carry-	419	d u n e
1345	Roswar	carry	70	buar?	buar?	carry-	419	b u a r ?
1346	Roon	carry		βar	βar	carry-	419	β a r
1347	Buli	carry	38	wataŋ	wataŋ	carry-4	424	w a t a ŋ
1348	Kowiai	carry	45	na-fafa	na-fafa	carry-45	425	n a f a f a
1349	Ambel (rem)	carry	32	n-al	n-al	carry-32	421	n a l
1350	Matbat	carry	47	ne¹n	ne¹n	carry-47	426	n e ¹ n
1351	Ma'ya Salawati	carry	49	-di12K	-di12K	carry-49	427	d i 12 K
1352	Waropen (held)	carry	57	awaro, wawo	awaro	carry-36	423	a w a r o
1353	Waropen (held)	carry	57	awaro, wawo	wawo	carry-45	425	w a w o
1354	Umar	carry	55	bav	bav	carry-55	430	b a v
1355	Yaur	carry	59	ìné	ìné	carry-59	431	ì n é
1356	Yerisiam	carry	60	áarí	áarí	carry-60	432	á a r í
1357	Moor	carry	50	ovarî	ovarî	carry-36	423	o v a r î
1358	Warembori	carry	56	wai	wai	carry-	419	w a i
1359	WAD	cassava	30	timuri	timuri	cassava-1	434	t i m u r i
1360	Ambai	cassava	31	timuri	timuri	cassava-1	434	t i m u r i
1361	Ansus (P&D)	cassava	33	timburi	timburi	cassava-1	434	t i m b u r i
1362	Ansus (EG)	cassava		timburi	timburi	cassava-	433	t i m b u r i
1363	Pom	cassava		timbu	timbu	cassava-	433	t i m b u
1364	Biak	cassava	36	fàrkia timór	fàrkia timór	cassava-1	434	fàrkia timór
1365	Roon	cassava		timur	timur	cassava-	433	t i m u r
1366	Irarutu (Mats)	cassava	43	siniéfə	siniéfə	cassava-43	435	s i n i é f ə
1367	Umar	cassava	55	timuri	timuri	cassava-1	434	t i m u r i
1368	Yaur	cassava	59	tìmùrìivré	tìmùrìivré	cassava-1	434	t ì m ù r ì i v r é
1369	Yerisiam	cassava	60	timor βua	timor βua	cassava-1	434	timor βua
1370	Moor	cassava	50	timùri	timùri	cassava-1	434	t i m ù r i
1371	Warembori	cassava	56	timori	timori	cassava-1	434	t i m o r i
1372	PMP	cassowary	68	kasuaRi	kasuaRi	cassowary-1	437	k a s u a R i
1373	WAD	cassowary	30	woŋgei	woŋgei	cassowary-2	438	w o ŋ g e i
1374	Ambai	cassowary	31	man-soari	man-soari	cassowary-1	437	m a n s o a r i
1375	Ansus (P&D)	cassowary	33	worawai	worawai	cassowary-33	440	w o r a w a i
1376	Ansus (EG)	cassowary		worawai	worawai	cassowary-	436	w o r a w a i
1377	Pom	cassowary		maswar	maswar	cassowary-	436	m a s w a r
1378	KURUDU	cassowary	69	maswar	maswar	cassowary-	436	m a s w a r
1379	Biak	cassowary	36	manuswar, wònge	manuswar	cassowary-1	437	m a n u s w a r
